[INFO ] 2016-12-27 12:40:10,165 [repositories/SYSTEM] PUT txn get/export statements request
[INFO ] 2016-12-27 12:40:10,167 [repositories/SYSTEM] PUT txn get/export statements request finished
[INFO ] 2016-12-27 12:40:10,177 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:40:10,197 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:40:10,202 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:40:10,236 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:40:10,251 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:40:10,257 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:40:10,659 [repositories/test] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:40:10,708 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:41:06,385 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:41:06,443 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:41:09,787 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:41:09,804 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:41:09,811 [repositories/test] DELETE request invoked for repository 'test'
[INFO ] 2016-12-27 12:41:09,841 [repositories/test] DELETE request successfully completed
[INFO ] 2016-12-27 12:41:09,857 [http-nio-8080-exec-8] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:42:23,443 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:23,468 [repositories/SYSTEM] POST transaction start
[INFO ] 2016-12-27 12:42:23,470 [repositories/SYSTEM] transaction started
[INFO ] 2016-12-27 12:42:23,473 [repositories/SYSTEM] PUT txn get/export statements request
[INFO ] 2016-12-27 12:42:23,474 [repositories/SYSTEM] PUT txn get/export statements request finished
[INFO ] 2016-12-27 12:42:23,480 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:42:23,482 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:42:23,485 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:42:23,492 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:42:23,503 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:23,509 [http-nio-8080-exec-2] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:42:23,840 [repositories/secured] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:42:23,886 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:27,408 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:44,666 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:47,495 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:47,519 [repositories/SYSTEM] POST transaction start
